,agent,mean,std,r2_score_mean,r2_score_median
0,0,0.01963542268641634,0.006761376773913943,0.5525649820924853,0.9890364589853065
1,1,0.018569398259715746,0.005581706193957128,0.9909603368332168,0.9916398419554135
2,2,0.013888690153241363,0.00283262316711842,0.9930660866031269,0.9939569840239891
3,3,0.006117516271233505,0.0024871299218433723,0.9936957787439477,0.9937045255271564
4,4,0.006372422216665915,0.0017109614347732961,0.9955166776713008,0.9955352638358075
